Date,Unique visitors,Visits,Users,Actions,Maximum actions in one visit,Bounces,Total time spent by visitors (in seconds),Returning Visits,Actions by Returning Visits,Unique returning visitors,Returning Users,Maximum actions in one returning visit,Bounce Rate for Returning Visits,Avg. Actions per Returning Visit,Avg. Duration of a Returning Visit (in sec),Conversions,Visits with Conversions,Revenue,Conversion Rate,Pageviews,Unique Pageviews,Downloads,Unique Downloads,Outlinks,Unique Outlinks,Searches,Unique Keywords,nb_hits_with_time_generation,Avg. generation time,Bounce Rate,Actions per Visit,Avg. Visit Duration (in seconds)
12/25/15,1673,1739,0,6232,228,1035,182142,306,807,286,0,124,59%,2.6,0:01:45,0,0,0,0%,5383,2305,622,430,185,166,42,24,4756,2.24s,60%,3.6,0:01:45
12/26/15,2029,2145,0,9465,476,1202,303793,474,3190,428,0,476,57%,6.7,0:03:23,0,0,0,0%,8243,2927,869,598,304,259,49,35,7465,1.3s,56%,4.4,0:02:22
12/27/15,2253,2369,0,10687,551,1340,319147,497,1868,440,0,133,55%,3.8,0:03:11,0,0,0,0%,9298,3243,917,642,401,343,71,52,8023,1.4s,57%,4.5,0:02:15
12/28/15,3856,4127,0,18152,908,2150,724573,1088,6100,948,0,365,45%,5.6,0:04:04,0,0,0,0%,15657,6552,1552,1180,747,632,196,138,14264,1.01s,52%,4.4,0:02:56
12/29/15,3751,4060,0,18807,1092,2091,774173,1125,6307,954,0,1092,47%,5.6,0:04:47,0,0,0,0%,15988,6406,1746,1315,775,637,298,184,14443,1.11s,52%,4.6,0:03:11
12/30/15,3526,3755,0,15644,1111,1895,666264,1034,5567,900,0,1111,47%,5.4,0:04:38,0,0,0,0%,13275,5838,1427,1106,732,599,210,145,12071,1.13s,50%,4.2,0:02:57
12/31/15,2860,3079,0,12231,977,1634,563173,907,4518,781,0,977,50%,5,0:04:37,0,0,0,0%,10428,4624,1190,862,479,391,134,102,9283,1.17s,53%,4,0:03:03
1/1/16,2630,2805,0,10699,235,1560,416496,637,2205,560,0,207,57%,3.5,0:03:08,0,0,0,0%,8980,3956,1140,799,444,381,135,77,8222,1.2s,56%,3.8,0:02:28
1/2/16,2522,2669,0,9753,221,1494,344710,639,2224,568,0,112,54%,3.5,0:02:52,0,0,0,0%,8210,3652,1038,753,409,344,96,58,7151,1.26s,56%,3.7,0:02:09
1/3/16,2521,2664,0,12115,399,1419,397474,647,3408,575,0,399,51%,5.3,0:03:29,0,0,0,0%,10353,3802,1193,911,446,396,123,85,9106,1.38s,53%,4.5,0:02:29
1/4/16,3979,4295,0,18341,1547,2170,769791,1322,7091,1130,0,1547,44%,5.4,0:03:59,0,0,0,0%,15486,7168,1565,1221,962,818,328,200,13903,1.07s,51%,4.3,0:02:59
